,,,,Edad,Edad,Score,Score,Aportaciones,Aportaciones,Opinion_Longitud,Opinion_Longitud
,,,,mean,std,mean,std,mean,std,mean,std
Ubicacion,Genero,Procedencia,Idioma,,,,,,,,
Alhóndiga 930,femenino,internacional,espanol,37.878787878787875,10.8822032918361,4.454545454545454,0.7111130839619098,73.60606060606061,86.07697840956786,193.87878787878788,95.79136103263619
Alhóndiga 930,femenino,internacional,frances,47.333333333333336,11.015141094572204,4.666666666666667,0.5773502691896258,80.33333333333333,62.364519827649865,222.33333333333334,134.03855166829183
Alhóndiga 930,femenino,internacional,ingles,46.88461538461539,14.102574849388937,4.435897435897436,0.6759263694193747,102.46153846153847,167.52822536428388,320.15384615384613,282.3323581163881
Alhóndiga 930,femenino,internacional,japones,50.0,19.79898987322333,4.0,1.4142135623730951,1511.0,2076.0655095637035,291.5,27.577164466275352
Alhóndiga 930,femenino,internacional,portugues,46.0,29.698484809834994,5.0,0.0,120.5,6.363961030678928,219.0,56.568542494923804
Alhóndiga 930,femenino,internacional,ruso,31.0,0.0,4.5,0.7071067811865476,289.5,208.59650045003153,718.0,188.09040379562165
Alhóndiga 930,femenino,nacional,espanol,36.25454545454546,12.19102545015024,4.4363636363636365,0.8006301433309184,41.38909090909091,61.04304354493584,232.01454545454544,145.95912263742972
Alhóndiga 930,femenino,nacional,ingles,42.38461538461539,16.98792934968072,4.846153846153846,0.3755338080994056,54.07692307692308,83.60867333243756,243.6153846153846,188.84452973347257
Alhóndiga 930,masculino,internacional,espanol,44.630434782608695,11.341876575382388,4.608695652173913,0.7142443052179219,78.47826086956522,133.91120426618278,252.2173913043478,187.53333487895225
Alhóndiga 930,masculino,internacional,frances,62.0,14.142135623730951,3.5,0.7071067811865476,64.5,14.849242404917497,294.0,120.20815280171308
Alhóndiga 930,masculino,internacional,ingles,46.953271028037385,13.14317613144088,4.570093457943925,0.6603622438253155,174.00934579439252,254.41870463926722,393.86915887850466,293.7608475431772
Alhóndiga 930,masculino,internacional,italiano,55.5,12.609520212918492,4.25,0.5,1063.5,1500.0485547697003,195.5,35.31288716601915
Alhóndiga 930,masculino,internacional,japones,48.5,11.058933040759403,4.333333333333333,0.5163977794943223,508.0,587.0083474704597,321.1666666666667,50.41990347736365
Alhóndiga 930,masculino,internacional,portugues,46.5,14.262838827827068,4.0,0.7559289460184544,771.25,980.9605715099577,273.125,128.13434634900088
Alhóndiga 930,masculino,nacional,espanol,39.75483870967742,12.677907770730819,4.425806451612903,0.7712335103367414,81.58064516129032,210.35608186495574,237.43225806451613,136.86712046648586
Alhóndiga 930,masculino,nacional,ingles,41.94444444444444,14.35873262563166,4.5,0.5144957554275265,67.72222222222223,47.62575372947554,308.1111111111111,133.87741930098895
Basilica Colegiata 560,femenino,internacional,coreano,54.666666666666664,25.006665778014735,5.0,0.0,124.33333333333333,22.898325994127458,231.33333333333334,31.021497922139954
Basilica Colegiata 560,femenino,internacional,espanol,40.75,13.195467796572064,4.607142857142857,0.5669467095138409,114.46428571428571,120.67540856696625,176.5,70.09173882742425
Basilica Colegiata 560,femenino,internacional,frances,40.714285714285715,13.707835784862683,4.714285714285714,0.4879500364742666,112.14285714285714,102.97641893726377,145.42857142857142,65.31170681906151
Basilica Colegiata 560,femenino,internacional,ingles,48.78,16.376052700233238,4.48,0.7886956423909864,228.46,341.2657238658965,243.3,154.08892873656976
Basilica Colegiata 560,femenino,internacional,italiano,33.5,0.7071067811865476,5.0,0.0,34.0,39.59797974644666,226.5,156.27059864222701
Basilica Colegiata 560,femenino,internacional,japones,55.625,10.742937879635825,4.375,0.5175491695067657,551.875,1003.8293021510892,271.125,106.78340895743791
Basilica Colegiata 560,femenino,internacional,portugues,42.888888888888886,11.050389636167184,4.444444444444445,0.7264831572567788,228.44444444444446,236.91037921074243,270.8888888888889,125.0784198457556
Basilica Colegiata 560,femenino,internacional,ruso,43.5,13.435028842544403,5.0,0.0,500.5,440.5275246792191,429.5,269.4076836320746
Basilica Colegiata 560,femenino,nacional,espanol,36.107142857142854,12.347343255003704,4.544642857142857,0.6421864798510437,54.19642857142857,72.98819345295773,203.22321428571428,167.19200322601688
Basilica Colegiata 560,femenino,nacional,ingles,39.166666666666664,12.089940722214756,5.0,0.0,108.66666666666667,59.76844206323825,355.6666666666667,385.3427911180728
Basilica Colegiata 560,masculino,internacional,chino,38.666666666666664,15.176736583776282,3.6666666666666665,0.5773502691896258,85.0,54.616847217685496,420.6666666666667,344.52043964521664
Basilica Colegiata 560,masculino,internacional,coreano,66.5,9.192388155425117,4.0,0.0,143.0,22.627416997969522,221.5,23.33452377915607
Basilica Colegiata 560,masculino,internacional,espanol,40.333333333333336,13.999255932608227,4.575757575757576,0.6628679652796169,179.27272727272728,271.28528258174003,175.45454545454547,70.94632253907304
Basilica Colegiata 560,masculino,internacional,frances,55.666666666666664,13.868429375143146,4.333333333333333,0.5773502691896257,429.6666666666667,451.0314105839341,295.6666666666667,168.0158722660848
Basilica Colegiata 560,masculino,internacional,ingles,48.28395061728395,16.082781606349407,4.506172839506172,0.614887322810518,267.51851851851853,338.7408342343417,262.04938271604937,187.90176297965968
Basilica Colegiata 560,masculino,internacional,italiano,52.375,13.585049555617065,4.5,0.5345224838248488,713.0,1066.5598904890433,219.875,142.32401413675768
Basilica Colegiata 560,masculino,internacional,japones,48.333333333333336,17.89553016817328,4.222222222222222,0.6666666666666669,544.7777777777778,513.2929908389988,270.0,80.83934685535256
Basilica Colegiata 560,masculino,internacional,polaco,45.0,4.242640687119285,3.0,0.0,261.5,28.991378028648448,182.5,0.7071067811865476
Basilica Colegiata 560,masculino,internacional,portugues,37.714285714285715,14.536048407208312,4.214285714285714,0.6992932067530679,582.0714285714286,770.061582381137,196.42857142857142,141.42827172795418
Basilica Colegiata 560,masculino,nacional,espanol,37.678899082568805,12.792417266392587,4.412844036697248,0.709864478123869,96.38532110091744,143.31407546706382,205.1743119266055,122.72627205505523
Basilica Colegiata 560,masculino,nacional,ingles,44.588235294117645,12.273237264111556,4.352941176470588,0.785905247993376,111.58823529411765,148.57281835161226,210.8235294117647,130.79432102260674
"Callejón del Beso 1,360",femenino,internacional,aleman,46.5,6.363961030678928,4.5,0.7071067811865476,50.0,19.79898987322333,285.0,82.02438661763951
"Callejón del Beso 1,360",femenino,internacional,chino,39.0,14.184498581197717,4.333333333333333,0.8164965809277259,45.666666666666664,28.218197438296208,277.1666666666667,93.4482031216581
